Neighborhood,Block,Area,bldgclass
LowerEastSide,377,2413,V1
LowerEastSide,377,3859,V1
LowerEastSide,377,3860,V1
LowerEastSide,377,4323,V1
LowerEastSide,377,4997,V1
LowerEastSide,378,2186,V1
LowerEastSide,379,1233,V1
LowerEastSide,379,1329,V1
LowerEastSide,379,1454,V1
LowerEastSide,379,1642,V1
LowerEastSide,379,1743,V1
LowerEastSide,379,1992,V1
LowerEastSide,379,1992,V1
LowerEastSide,379,1999,V1
LowerEastSide,379,3782,V1
LowerEastSide,379,3782,V1
LowerEastSide,384,471,V1
LowerEastSide,384,1525,V1
LowerEastSide,384,3989,V1
LowerEastSide,385,2621,V1
LowerEastSide,385,2674,V1
LowerEastSide,385,7100,V1
LowerEastSide,386,2380,V1
LowerEastSide,386,2380,V1
LowerEastSide,386,2404,V1
LowerEastSide,386,2652,V1
LowerEastSide,387,2160,V1
LowerEastSide,387,2388,V1
LowerEastSide,387,3445,V1
LowerEastSide,387,4074,V1
LowerEastSide,387,4161,V1
LowerEastSide,389,2271,V1
LowerEastSide,389,2275,V1
LowerEastSide,390,6500,V1
LowerEastSide,391,1368,V1
LowerEastSide,391,1519,V1
LowerEastSide,391,2325,V1
LowerEastSide,391,2325,V1
LowerEastSide,391,2348,V1
LowerEastSide,391,2583,V1
LowerEastSide,391,22862,V9
LowerEastSide,393,2370,V1
LowerEastSide,393,4738,V1
LowerEastSide,394,2206,V1
LowerEastSide,394,5163,V1
LowerEastSide,395,2744,V1
LowerEastSide,396,10098,V1
MurrayHill KipsBay ,866,4938,V1
MurrayHill KipsBay ,884,1975,V1
MurrayHill KipsBay ,887,6419,V1
MurrayHill KipsBay ,889,3504,V1
MurrayHill KipsBay ,911,1540,V1
MurrayHill KipsBay ,914,1296,V1
MurrayHill KipsBay ,914,1296,V1
MurrayHill KipsBay ,914,1469,V1
MurrayHill KipsBay ,914,1500,V1
MurrayHill KipsBay ,915,11109,V7
MurrayHill KipsBay ,916,10698,V7
MurrayHill KipsBay ,917,2247,V9
MurrayHill KipsBay ,918,8799,V9
MurrayHill KipsBay ,919,2469,V9
MurrayHill KipsBay ,919,4937,V1
MurrayHill KipsBay ,919,8596,V9
MurrayHill KipsBay ,940,9155,V1
MurrayHill KipsBay ,941,8097,V1
MurrayHill KipsBay ,942,128375,V1
MurrayHill KipsBay ,943,8690,V9
MurrayHill KipsBay ,944,467,V1
MurrayHill KipsBay ,944,8200,V9
MurrayHill KipsBay ,962,30000,V1
SoHo Tribeca CivicCenter LittleItaly,126,2679,V1
SoHo Tribeca CivicCenter LittleItaly,126,7950,V1
SoHo Tribeca CivicCenter LittleItaly,142,39401,V1
SoHo Tribeca CivicCenter LittleItaly,174,161,V1
SoHo Tribeca CivicCenter LittleItaly,220,11053,V7
SoHo Tribeca CivicCenter LittleItaly,223,8030,V1
SoHo Tribeca CivicCenter LittleItaly,223,24388,V1
SoHo Tribeca CivicCenter LittleItaly,225,105,V7
SoHo Tribeca CivicCenter LittleItaly,226,861,V8
